doi,publisher,type,created,created_year
10.31223/osf.io/yzgqn,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/nu7rq,California Digital Library (CDL),posted-content,2019-06-05,2019
10.31226/osf.io/kas4q,Center for Open Science,posted-content,2018-07-06,2018
10.17077/hq5u-6aa0,The University of Iowa,posted-content,2019-01-28,2019
10.31223/osf.io/f8kcr,California Digital Library (CDL),posted-content,2019-07-04,2019
10.31223/osf.io/rpfbh,California Digital Library (CDL),posted-content,2019-01-14,2019
10.31223/osf.io/aev5c,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/sp2uz,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/br3kp,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/f5hdv,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/zq8nw,California Digital Library (CDL),posted-content,2019-09-06,2019
10.31223/osf.io/abzx4,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/ebgms,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/qvr94,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/463mr,California Digital Library (CDL),posted-content,2019-09-06,2019
10.31223/osf.io/r85fx,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/86ayg,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/a9vjb,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/u3cws,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/dypjx,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/8qzh4,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/wcxny,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/uvw3s,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/sx6th,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/4qsrd,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/hfvzp,California Digital Library (CDL),posted-content,2018-07-17,2018
10.31223/osf.io/g8ahe,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/58wa7,California Digital Library (CDL),posted-content,2018-08-15,2018
10.31223/osf.io/yqb3a,California Digital Library (CDL),posted-content,2018-09-14,2018
10.31223/osf.io/m64t7,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/j6vpn,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/an3fr,California Digital Library (CDL),posted-content,2018-09-25,2018
10.31223/osf.io/mdn3h,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/r6w8f,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/kp6n5,California Digital Library (CDL),posted-content,2019-10-03,2019
10.31223/osf.io/kftsv,California Digital Library (CDL),posted-content,2018-11-13,2018
10.31223/osf.io/nyp7h,California Digital Library (CDL),posted-content,2019-02-19,2019
10.31223/osf.io/r2mes,California Digital Library (CDL),posted-content,2019-07-16,2019
10.31223/osf.io/4png2,California Digital Library (CDL),posted-content,2019-02-01,2019
10.31223/osf.io/eaj2h,California Digital Library (CDL),posted-content,2019-11-05,2019
10.31223/osf.io/3rft7,California Digital Library (CDL),posted-content,2019-06-18,2019
10.17077/4y2e-j1g2,The University of Iowa,posted-content,2019-01-29,2019
10.17077/f3hq-s8cb,The University of Iowa,posted-content,2019-01-29,2019
10.17077/o1ah-25ie,The University of Iowa,posted-content,2019-01-29,2019
10.17077/a7rw-29zx,The University of Iowa,posted-content,2019-01-29,2019
10.17077/uzp9-5t86,The University of Iowa,posted-content,2019-01-29,2019
10.31234/osf.io/nmtx4,Center for Open Science,posted-content,2018-07-23,2018
10.31223/osf.io/p9hk2,California Digital Library (CDL),posted-content,2018-10-03,2018
10.31223/osf.io/63ycb,California Digital Library (CDL),posted-content,2018-10-04,2018
10.31223/osf.io/kma5y,California Digital Library (CDL),posted-content,2018-10-01,2018
10.31223/osf.io/6quyb,California Digital Library (CDL),posted-content,2018-11-23,2018
10.31223/osf.io/x59qg,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31230/osf.io/rfu3x,Center for Open Science,posted-content,2018-08-07,2018
10.31223/osf.io/d52eh,Center for Open Science,posted-content,2018-08-17,2018
10.31223/osf.io/4d6zc,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/xhe5r,California Digital Library (CDL),posted-content,2018-07-02,2018
10.21034/wp.415,Federal Reserve Bank of Minneapolis,posted-content,2019-08-30,2019
10.31223/osf.io/bg8a7,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/hdm87,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/rcjh7,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/y6c5q,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/tq23m,California Digital Library (CDL),posted-content,2018-11-28,2018
10.31223/osf.io/wemvy,California Digital Library (CDL),posted-content,2018-08-07,2018
10.31223/osf.io/5zd3n,California Digital Library (CDL),posted-content,2019-10-11,2019
10.31223/osf.io/nvrxz,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/zqp39,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/uztng,California Digital Library (CDL),posted-content,2018-07-02,2018
10.31223/osf.io/5n29s,California Digital Library (CDL),posted-content,2018-07-02,2018
