"DOI","publisher","type","created","created_year"
"10.7287/peerj.preprints.694v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.795v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.730v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.677v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.634v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.621v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.621v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.739v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.692v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.341v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.725v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.735v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.779v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.736v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.219v2","PeerJ","posted-content",2018-01-12,2018
"10.31226/osf.io/r4qxb","Center for Open Science","posted-content",2018-07-06,2018
"10.7287/peerj.preprints.742v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.651v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.651v3","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.615v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.659v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.764v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.553v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.712v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.618v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.740v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.594v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.594v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.815v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.811v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.811v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.561v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.748v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.843v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.843v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.685v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.598v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.737v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.682v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.971v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.993v1","PeerJ","posted-content",2018-01-12,2018
"10.1101/046995","Cold Spring Harbor Laboratory","posted-content",2016-04-06,2016
"10.7287/peerj.preprints.864v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.537v3","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.537v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.576v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.576v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.576v3","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.453v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.614v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.604v1","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.413v2","PeerJ","posted-content",2018-01-12,2018
"10.7287/peerj.preprints.2303v1","PeerJ","posted-content",2018-01-13,2018
"10.7287/peerj.preprints.2043v1","PeerJ","posted-content",2018-01-13,2018
